keywords,tf_tc1,tf_t1,ctfidf1,tf_tc2,tf_t2,ctfidf2,tf_tc3,tf_t3,ctfidf3,relative_tf_tc1,relative_tf_tc3,relative_tc_t,,,,relative_A
sleep,1065,24943,6315.566167,16813,24943,99702.92391,2948,24943,17481.96156,24.76744186,22.50381679,47.27125865,,,,
vomit,994,24843,5898.510925,17230,24843,102244.8121,2792,24843,16568.05081,23.11627907,21.3129771,44.42925617,,,,
pull,1017,24811,6036.302947,16578,24811,98397.0799,2909,24811,17266.08188,23.65116279,22.20610687,45.85726966,,,,
advise,974,24747,5783.589735,16705,24747,99193.90814,3290,24747,19535.94479,22.65116279,25.11450382,47.76566661,,,,
study,1012,24665,6012.582886,17005,24665,101031.5929,2792,24665,16588.07452,23.53488372,21.3129771,44.84786082,,,,
tend,1123,24572,6676.296964,16925,24572,100620.0589,2763,24572,16426.18745,26.11627907,21.09160305,47.20788212,,,,
decrease,936,24489,5567.730365,17745,24489,105554.8882,2669,24489,15876.35934,21.76744186,20.3740458,42.14148766,,,,
investigate,959,24238,5714.398588,16329,24238,97299.70234,2634,24238,15695.23032,22.30232558,20.10687023,42.40919581,,,,
represent,937,24115,5588.061861,16715,24115,99684.58271,2743,24115,16358.64854,21.79069767,20.9389313,42.72962897,,,,
establish,969,23988,5784.006362,16775,23988,100130.7603,2714,23988,16199.99305,22.53488372,20.71755725,43.25244097,,,,
observe,1024,23724,6123.607231,17397,23724,104035.542,2492,23724,14902.37228,23.81395349,19.02290076,42.83685425,,,,
estimate,939,23682,5616.959627,16427,23682,98263.89329,2632,23682,15744.23614,21.8372093,20.09160305,41.92881236,,,,
gain,893,23475,5349.614565,16171,23475,96874.15133,2554,23475,15300.01747,20.76744186,19.49618321,40.26362507,,,,
target,918,23474,5499.418819,16666,23474,99840.21137,2498,23474,14964.64947,21.34883721,19.06870229,40.4175395,,,,
throw,907,22985,5452.568167,15219,22985,91491.32847,2834,22985,17037.02115,21.09302326,21.63358779,42.72661104,,,,
charge,870,22970,5230.703606,15403,22970,92607.50305,2790,22970,16774.32536,20.23255814,21.29770992,41.53026806,,,,
trigger,1035,22906,6225.614326,16037,22906,96463.93908,2503,22906,15055.76102,24.06976744,19.10687023,43.17663767,,,,
detect,978,22787,5887.836097,16167,22787,97329.90407,2735,22787,16465.47211,22.74418605,20.8778626,43.62204864,,,,
threaten,920,22743,5540.433577,15424,22743,92886.57336,2489,22743,14989.28171,21.39534884,19,40.39534884,,,,
cough,776,22505,4681.379033,14970,22505,90309.59293,3525,22505,21265.28491,18.04651163,26.90839695,44.95490857,,,,
form,840,22355,5073.076215,15642,22355,94467.92637,2364,22355,14277.08592,19.53488372,18.04580153,37.58068525,,,,
record,863,21926,5228.664638,15199,21926,92086.29645,2655,21926,16085.86861,20.06976744,20.26717557,40.33694301,,,,
connect,958,21912,5804.852317,15041,21912,91138.60512,2478,21912,15015.05641,22.27906977,18.91603053,41.1951003,,,,
issue,829,21853,5025.42679,14903,21853,90342.50357,2750,21853,16670.59551,19.27906977,20.99236641,40.27143618,,,,
recall,888,21846,5383.370668,14378,21846,87164.53094,2737,21846,16592.66387,20.65116279,20.89312977,41.54429256,,,,
care,926,21761,5617.341718,15009,21761,91048.25254,2595,21761,15741.90255,21.53488372,19.80916031,41.34404403,,,,
accept,924,21741,5606.056877,15017,21741,91110.55857,2474,21741,15010.15662,21.48837209,18.88549618,40.37386828,,,,
express,919,21588,5582.196311,15049,21588,91410.74243,2518,21588,15294.85344,21.37209302,19.22137405,40.59346707,,,,
monitor,894,21465,5435.437641,15019,21465,91314.13638,2551,21465,15509.84499,20.79069767,19.47328244,40.26398012,,,,
prescribe,1035,21273,6301.98298,14678,21273,89372.46975,2522,21273,15356.13631,24.06976744,19.2519084,43.32167584,,,,
combine,879,21248,5353.150143,14909,21248,90796.49088,2363,21248,14390.77792,20.44186047,18.03816794,38.4800284,,,,
finish,859,21002,5241.329843,14238,21002,86875.49978,2404,21002,14668.40156,19.97674419,18.35114504,38.32788922,,,,
suspect,823,20962,5023.235374,14136,20962,86280.01853,2574,20962,15710.58062,19.13953488,19.64885496,38.78838985,,,,
emerge,855,20765,5226.6048,14460,20765,88393.80749,2704,20765,16529.51974,19.88372093,20.64122137,40.5249423,,,,
review,853,20710,5216.63615,15318,20710,93679.28786,2404,20710,14701.98512,19.8372093,18.35114504,38.18835434,,,,
impact,898,20697,5492.40232,14886,20697,91046.66028,2437,20697,14905.3279,20.88372093,18.60305344,39.48677437,,,,
lie,859,20657,5255.52623,13951,20657,85354.88526,2361,20657,14445.04939,19.97674419,18.02290076,37.99964495,,,,
mention,845,20510,5175.893023,14144,20510,86636.4863,2494,20510,15276.54106,19.65116279,19.03816794,38.68933073,,,,
collect,795,20459,4871.602143,14454,20459,88571.24199,2348,20459,14388.07778,18.48837209,17.92366412,36.41203622,,,,
celebrate,799,20348,4900.450658,13690,20348,83963.91678,2572,20348,15774.6672,18.58139535,19.63358779,38.21498314,,,,
boost,1044,20217,6409.82037,13884,20217,85243.24332,2376,20217,14587.86705,24.27906977,18.13740458,42.41647435,,,,
demonstrate,766,20182,4704.31521,14627,20182,89830.31147,2216,20182,13609.35053,17.81395349,16.91603053,34.72998402,,,,
age,830,20176,5097.611305,14109,20176,86653.25049,2286,20176,14039.92704,19.30232558,17.45038168,36.75270726,,,,
draw,745,20091,4578.705282,13668,20091,84002.34067,2269,20091,13945.07689,17.3255814,17.32061069,34.64619208,,,,
head,832,20072,5114.185231,13484,20072,82884.22315,2365,20072,14537.31739,19.34883721,18.05343511,37.40227232,,,,
survive,796,19952,4897.661336,13440,19952,82694.18135,2446,19952,15049.84878,18.51162791,18.67175573,37.18338363,,,,
expand,777,19893,4783.053539,13807,19893,84993.07621,2317,19893,14262.97947,18.06976744,17.6870229,35.75679034,,,,
introduce,692,19698,4266.613241,13363,19698,82391.26119,2211,19698,13632.19924,16.09302326,16.8778626,32.97088585,,,,
listen,879,19611,5423.468034,13138,19611,81062.02847,2595,19611,16011.26228,20.44186047,19.80916031,40.25102077,,,,
